порог,выборка,баров,сигналов,сделок,лонгов%,winrate,PnL,PF,на_сделку,до_комиссии,просадка
0.5,test,2726,1778,388,46.4,39.95,0.0,1.0,0.0,0.04,-12.56
0.5,sim,1339,951,204,50.5,39.71,-3.09,0.916,-0.015,0.025,-8.01
1.0,test,2726,1165,257,45.1,41.25,4.7,1.083,0.018,0.058,-7.68
1.0,sim,1339,563,125,48.0,39.2,1.22,1.053,0.01,0.05,-5.83
1.5,test,2726,648,154,48.7,44.16,9.63,1.283,0.063,0.103,-4.26
1.5,sim,1339,363,83,41.0,37.35,-0.74,0.956,-0.009,0.031,-5.4
2.0,test,2726,361,101,54.5,42.57,5.42,1.256,0.054,0.094,-4.07
2.0,sim,1339,208,49,44.9,36.73,-0.95,0.91,-0.019,0.021,-5.0
