порог,выборка,баров,сигналов,сделок,лонгов%,winrate,PnL,PF,на_сделку,до_комиссии,просадка
0.5,test,2726,1878,488,47.5,37.3,-18.23,0.837,-0.037,0.003,-20.41
0.5,sim,1339,869,214,49.5,40.65,-4.5,0.885,-0.021,0.019,-9.27
1.0,test,2726,1132,361,47.4,37.67,-8.47,0.893,-0.023,0.017,-13.57
1.0,sim,1339,517,154,53.9,33.77,-8.1,0.732,-0.053,-0.013,-8.74
1.5,test,2726,684,258,44.6,43.02,8.58,1.173,0.033,0.073,-6.79
1.5,sim,1339,298,98,54.1,37.76,-0.97,0.95,-0.01,0.03,-6.3
2.0,test,2726,403,169,45.0,40.24,2.55,1.075,0.015,0.055,-8.08
2.0,sim,1339,198,66,51.5,45.45,3.68,1.306,0.056,0.096,-3.18
