порог,выборка,баров,сигналов,сделок,лонгов%,winrate,PnL,PF,на_сделку,до_комиссии,просадка
0.05,test,2983,968,288,52.1,37.15,-0.44,0.995,-0.002,0.038,-18.56
0.05,sim,1519,165,65,50.8,35.38,-22.63,0.516,-0.348,-0.308,-19.83
0.1,test,2983,362,147,51.0,38.1,-1.92,0.95,-0.013,0.027,-13.29
0.1,sim,1519,14,9,66.7,22.22,-8.76,0.098,-0.973,-0.933,-8.68
0.15,test,2983,118,62,58.1,35.48,0.9,1.056,0.015,0.055,-9.15
0.15,sim,1519,5,4,75.0,0.0,-6.44,0.0,-1.61,-1.57,-5.05
0.2,test,2983,49,30,70.0,33.33,4.81,1.588,0.16,0.2,-5.01
0.2,sim,1519,3,2,50.0,0.0,-3.5,0.0,-1.748,-1.708,-2.0
