порог,выборка,баров,сигналов,сделок,лонгов%,winrate,PnL,PF,на_сделку,до_комиссии,просадка
0.5,test,2983,1428,365,49.0,40.55,1.53,1.013,0.004,0.044,-19.38
0.5,sim,1519,613,155,48.4,35.48,-7.92,0.941,-0.051,-0.011,-27.27
1.0,test,2983,900,281,48.4,38.08,-16.34,0.827,-0.058,-0.018,-22.11
1.0,sim,1519,380,118,47.5,33.05,-34.78,0.687,-0.295,-0.255,-32.42
1.5,test,2983,465,179,45.8,35.2,-16.71,0.729,-0.093,-0.053,-20.71
1.5,sim,1519,216,78,41.0,39.74,-14.19,0.799,-0.182,-0.142,-16.0
2.0,test,2983,234,109,46.8,41.28,6.56,1.203,0.06,0.1,-5.77
2.0,sim,1519,98,44,40.9,45.45,-3.46,0.916,-0.079,-0.039,-15.11
