порог,выборка,баров,сигналов,сделок,лонгов%,winrate,PnL,PF,на_сделку,до_комиссии,просадка
0.5,test,2983,1307,321,44.2,36.14,-27.68,0.752,-0.086,-0.046,-30.17
0.5,sim,1519,577,142,57.7,29.58,-8.44,0.935,-0.059,-0.019,-23.07
1.0,test,2983,789,206,45.6,32.52,-22.49,0.698,-0.109,-0.069,-23.5
1.0,sim,1519,287,87,49.4,32.18,-3.85,0.951,-0.044,-0.004,-22.23
1.5,test,2983,436,113,43.4,36.28,-9.05,0.777,-0.08,-0.04,-17.14
1.5,sim,1519,139,44,29.5,31.82,2.83,1.061,0.064,0.104,-16.87
2.0,test,2983,216,65,41.5,30.77,-6.84,0.743,-0.105,-0.065,-8.99
2.0,sim,1519,72,23,13.0,34.78,21.07,2.11,0.916,0.956,-8.74
