ext_bin,n,winrate,avg_pnl,total_pnl,tp,sl
"(0.0, 0.5]",1,100.0,1.26,1.26,0.0,0.0
"(0.5, 1.0]",4,75.0,0.94,3.76,0.0,25.0
"(1.0, 1.5]",5,60.0,0.99,4.93,0.0,40.0
"(1.5, 2.0]",6,50.0,0.46,2.78,0.0,0.0
"(2.0, 3.0]",4,75.0,1.05,4.22,0.0,0.0
"(3.0, 99.0]",60,51.67,0.81,48.34,0.0,38.33
