signal_dt,open_dt,close_dt,side,predicted_class,open_price,exit_price,gross_pct,commission_pct,profit_pct,profit_points,exit_reason,atr_at_entry,minutes_in_trade
2025-12-31 01:00:00,2025-12-31 02:01:00,2025-12-31 09:47:00,sell,0,71.922,73.39214285714286,-2.044079498822142,0.04,-2.084079498822142,-1.4701428571428607,stop_loss,1.4701428571428587,466
2026-01-01 18:00:00,2026-01-01 19:01:00,2026-01-02 00:22:00,sell,0,72.641,73.81142857142858,-1.6112506317762325,0.04,-1.6512506317762325,-1.1704285714285732,stop_loss,1.1704285714285692,321
2026-01-02 06:00:00,2026-01-02 07:01:00,2026-01-02 09:36:00,buy,2,74.175,73.46428571428571,-0.9581587943569787,0.04,-0.9981587943569787,-0.710714285714289,stop_loss,0.710714285714288,155
2026-01-02 10:00:00,2026-01-02 11:01:00,2026-01-02 11:12:00,buy,2,72.545,71.8965,-0.8939279068164567,0.04,-0.9339279068164568,-0.6484999999999985,stop_loss,0.6485000000000015,11
2026-01-02 12:00:00,2026-01-02 13:01:00,2026-01-02 16:59:00,buy,2,71.909,72.819,1.2654883255225307,0.04,1.2254883255225306,0.9099999999999966,timeout,0.6737142857142858,238
2026-01-04 18:00:00,2026-01-04 19:01:00,2026-01-04 19:28:00,sell,0,74.244,75.003,-1.0223048327137552,0.04,-1.0623048327137552,-0.7590000000000003,stop_loss,0.7590000000000013,27
2026-01-05 01:00:00,2026-01-05 02:01:00,2026-01-05 06:25:00,buy,2,75.445,75.09164285714286,-0.46836389801462647,0.04,-0.5083638980146264,-0.35335714285713493,trailing_stop,0.8355714285714291,264
2026-01-05 07:00:00,2026-01-05 08:01:00,2026-01-05 12:01:00,buy,2,75.019,76.72064285714286,2.268282511287617,0.04,2.228282511287617,1.7016428571428577,trailing_stop,0.7675714285714272,240
2026-01-05 21:00:00,2026-01-05 22:01:00,2026-01-06 02:56:00,buy,2,77.811,78.04507142857143,0.3008204862698405,0.04,0.2608204862698405,0.2340714285714256,trailing_stop,0.8712857142857159,295
2026-01-06 04:00:00,2026-01-06 05:01:00,2026-01-06 14:17:00,buy,2,77.702,80.14514285714286,3.1442470684703863,0.04,3.1042470684703862,2.4431428571428597,trailing_stop,0.8585714285714313,556
2026-01-06 18:00:00,2026-01-06 19:01:00,2026-01-06 20:05:00,buy,2,82.524,81.52364285714286,-1.2122014721258547,0.04,-1.2522014721258548,-1.0003571428571405,stop_loss,1.0003571428571456,64
