signal_dt,open_dt,close_dt,side,predicted_class,open_price,exit_price,gross_pct,commission_pct,profit_pct,profit_points,exit_reason,atr_at_entry,minutes_in_trade,roll_low,roll_high,atr_prev,extension_atr,ext_bin
2026-01-05 06:00:00,2026-01-05 07:01:00,2026-01-05 10:09:00,sell,0,5912.0,5860.678571428572,0.868089116566787,0.04,0.828089116566787,51.32142857142844,trailing_stop,19.785714285714285,188,,,,,
2026-01-05 11:00:00,2026-01-05 12:01:00,2026-01-05 17:15:00,sell,0,5868.0,5873.25,-0.08946830265848671,0.04,-0.12946830265848672,-5.25,trailing_stop,25.5,314,,,25.714285714285715,,
2026-01-05 18:00:00,2026-01-05 19:01:00,2026-01-05 23:49:00,sell,0,5877.5,5871.5,0.10208421948107188,0.04,0.06208421948107188,6.0,timeout,22.607142857142858,288,,,22.857142857142858,,
2026-01-06 06:00:00,2026-01-06 07:01:00,2026-01-06 09:15:00,sell,0,5878.5,5890.25,-0.19988092200391255,0.04,-0.23988092200391256,-11.75,stop_loss,11.75,134,,,14.607142857142858,,
2026-01-06 10:00:00,2026-01-06 11:01:00,2026-01-06 13:01:00,buy,2,5895.0,5880.5,-0.24597116200169633,0.04,-0.2859711620016963,-14.5,stop_loss,14.5,120,,,13.678571428571429,,
2026-01-06 14:00:00,2026-01-06 15:01:00,2026-01-06 16:59:00,buy,2,5878.0,5870.732142857143,-0.12364506877946381,0.04,-0.1636450687794638,-7.267857142856883,trailing_stop,15.178571428571429,118,5831.0,5915.5,14.821428571428571,3.1710843373493978,"(3.0, 99.0]"
2026-01-06 17:00:00,2026-01-06 18:01:00,2026-01-06 23:49:00,buy,2,5879.0,5884.0,0.08504847763225039,0.04,0.04504847763225039,5.0,timeout,17.285714285714285,348,5835.0,5915.5,16.785714285714285,2.621276595744681,"(2.0, 3.0]"
2026-01-08 06:00:00,2026-01-08 07:01:00,2026-01-08 09:12:00,buy,2,5832.5,5840.375,0.1350192884697814,0.04,0.09501928846978139,7.875,trailing_stop,15.75,131,5864.0,5915.5,15.428571428571429,-2.0416666666666665,
2026-01-08 10:00:00,2026-01-08 11:01:00,2026-01-08 21:01:00,sell,0,5865.5,5832.0,0.5711363055153014,0.04,0.5311363055153013,33.5,timeout,16.571428571428573,600,5831.0,5915.5,16.0,3.125,"(3.0, 99.0]"
2026-01-08 22:00:00,2026-01-08 23:01:00,2026-01-09 07:00:00,buy,2,5843.0,5826.178571428572,-0.2878902716314982,0.04,-0.3278902716314982,-16.82142857142844,stop_loss,16.821428571428573,479,5821.5,5893.5,16.464285714285715,1.3058568329718003,"(1.0, 1.5]"
2026-01-09 08:00:00,2026-01-09 09:01:00,2026-01-09 19:01:00,sell,0,5847.0,5845.5,0.02565418163160595,0.04,-0.014345818368394051,1.5,timeout,16.678571428571427,600,5821.0,5888.0,17.285714285714285,2.3719008264462813,"(2.0, 3.0]"
2026-01-09 20:00:00,2026-01-09 21:01:00,2026-01-09 23:49:00,buy,2,5842.0,5878.0,0.6162273194111606,0.04,0.5762273194111606,36.0,timeout,12.392857142857142,168,5821.0,5867.0,12.285714285714286,1.7093023255813953,"(1.5, 2.0]"
2026-01-13 07:00:00,2026-01-13 08:01:00,2026-01-13 10:19:00,sell,0,5374.0,5384.732142857143,-0.19970492849168434,0.04,-0.23970492849168434,-10.732142857143117,trailing_stop,21.821428571428573,138,5363.0,5882.0,20.642857142857142,24.60899653979239,"(3.0, 99.0]"
2026-01-13 12:00:00,2026-01-13 13:01:00,2026-01-13 15:08:00,buy,2,5408.0,5384.178571428572,-0.44048499577345496,0.04,-0.48048499577345494,-23.82142857142844,stop_loss,23.821428571428573,127,5352.0,5882.0,24.178571428571427,2.3161004431314627,"(2.0, 3.0]"
2026-01-13 16:00:00,2026-01-13 17:01:00,2026-01-13 23:49:00,buy,2,5400.5,5392.5,-0.14813443199703732,0.04,-0.18813443199703733,-8.0,timeout,24.035714285714285,408,5352.0,5550.0,22.892857142857142,2.1185647425897036,"(2.0, 3.0]"
2026-01-14 06:00:00,2026-01-14 07:01:00,2026-01-14 09:54:00,buy,2,5400.0,5380.821428571428,-0.35515873015873256,0.04,-0.39515873015873254,-19.17857142857156,stop_loss,19.178571428571427,173,5352.0,5430.0,21.821428571428573,2.199672667757774,"(2.0, 3.0]"
2026-01-14 10:00:00,2026-01-14 11:01:00,2026-01-14 11:37:00,buy,2,5369.0,5405.321428571428,0.6765026740813642,0.04,0.6365026740813642,36.32142857142844,trailing_stop,15.785714285714286,36,5352.0,5430.0,15.642857142857142,1.08675799086758,"(1.0, 1.5]"
2026-01-14 12:00:00,2026-01-14 13:01:00,2026-01-14 14:06:00,sell,0,5395.0,5414.5,-0.3614457831325301,0.04,-0.4014457831325301,-19.5,stop_loss,19.5,65,5352.0,5430.0,19.321428571428573,1.8114602587800368,"(1.5, 2.0]"
2026-01-14 15:00:00,2026-01-14 16:01:00,2026-01-14 19:20:00,buy,2,5392.0,5384.375,-0.1414132047477745,0.04,-0.1814132047477745,-7.625,trailing_stop,19.75,199,5352.0,5430.0,18.964285714285715,2.109227871939736,"(2.0, 3.0]"
2026-01-14 22:00:00,2026-01-14 23:01:00,2026-01-14 23:12:00,buy,2,5411.5,5387.928571428572,-0.43558031176990564,0.04,-0.4755803117699056,-23.57142857142844,stop_loss,23.571428571428573,11,5352.0,5429.0,23.071428571428573,2.5789473684210527,"(2.0, 3.0]"
2026-01-15 06:00:00,2026-01-15 07:01:00,2026-01-15 13:01:00,sell,0,5396.5,5400.5,-0.07412211618641712,0.04,-0.11412211618641713,-4.0,trailing_stop,23.0,360,5352.0,5429.0,24.678571428571427,1.3169319826338641,"(1.0, 1.5]"
2026-01-15 14:00:00,2026-01-15 15:01:00,2026-01-15 18:20:00,buy,2,5399.0,5381.75,-0.3195036117799593,0.04,-0.35950361177995926,-17.25,stop_loss,17.25,199,5352.0,5429.0,16.928571428571427,2.776371308016878,"(2.0, 3.0]"
2026-01-15 19:00:00,2026-01-15 20:01:00,2026-01-15 23:49:00,buy,2,5390.5,5395.0,0.08348019664224098,0.04,0.043480196642240974,4.5,timeout,17.392857142857142,228,5366.0,5418.0,18.607142857142858,1.3166986564299423,"(1.0, 1.5]"
