signal_dt,open_dt,close_dt,side,predicted_class,open_price,exit_price,gross_pct,commission_pct,profit_pct,profit_points,exit_reason,atr_at_entry,minutes_in_trade,roll_low,roll_high,atr_prev,extension_atr,ext_bin
2026-01-02 06:00:00,2026-01-02 07:01:00,2026-01-02 09:36:00,buy,2,74.175,73.46428571428571,-0.9581587943569787,0.04,-0.9981587943569787,-0.710714285714289,stop_loss,0.710714285714288,155,70.049,74.542,0.7752142857142863,5.322399336588945,"(3.0, 99.0]"
2026-01-02 10:00:00,2026-01-02 11:01:00,2026-01-02 11:12:00,buy,2,72.545,71.8965,-0.8939279068164567,0.04,-0.9339279068164568,-0.6484999999999985,stop_loss,0.6485000000000015,11,70.049,74.555,0.6082142857142878,4.103816793893108,"(3.0, 99.0]"
2026-01-04 20:00:00,2026-01-04 21:01:00,2026-01-05 07:01:00,buy,2,75.489,74.972,-0.6848679940123861,0.04,-0.7248679940123861,-0.5170000000000101,timeout,0.9316428571428576,600,71.398,75.547,0.8570714285714293,4.773231102591889,"(3.0, 99.0]"
2026-01-05 09:00:00,2026-01-05 10:01:00,2026-01-05 12:01:00,buy,2,76.901,76.80560714285714,-0.12404631557828226,0.04,-0.16404631557828225,-0.09539285714285484,trailing_stop,0.7109285714285706,120,71.398,76.345,0.7264285714285695,7.575417895771898,"(3.0, 99.0]"
2026-01-05 22:00:00,2026-01-05 23:01:00,2026-01-06 04:48:00,buy,2,78.752,77.8377857142857,-1.160877546874104,0.04,-1.200877546874104,-0.9142142857142943,stop_loss,0.9142142857142872,347,74.575,77.929,0.8712857142857159,4.794064600754204,"(3.0, 99.0]"
2026-01-06 05:00:00,2026-01-06 06:01:00,2026-01-06 14:16:00,buy,2,77.849,80.18050000000001,2.9949003840768738,0.04,2.9549003840768737,2.3315000000000055,trailing_stop,0.8350000000000019,495,74.575,79.352,0.8585714285714313,3.813311148086511,"(3.0, 99.0]"
2026-01-06 15:00:00,2026-01-06 16:01:00,2026-01-06 20:07:00,buy,2,81.249,81.29921428571429,0.06180295845399942,0.04,0.02180295845399942,0.050214285714289986,trailing_stop,0.9678571428571446,246,75.609,81.433,0.9140714285714314,6.170196139720228,"(3.0, 99.0]"
2026-01-08 04:00:00,2026-01-08 05:01:00,2026-01-08 10:16:00,sell,0,76.122,75.22339285714285,1.1804828339470126,0.04,1.1404828339470126,0.8986071428571449,trailing_stop,0.9309285714285725,315,75.169,80.093,0.9512142857142862,4.174663963355112,"(3.0, 99.0]"
2026-01-11 20:00:00,2026-01-11 21:01:00,2026-01-12 07:01:00,buy,2,83.044,84.181,1.3691537016521367,0.04,1.3291537016521366,1.1370000000000005,timeout,1.0789999999999995,600,75.477,83.62,1.0202142857142849,7.417069243156199,"(3.0, 99.0]"
2026-01-12 08:00:00,2026-01-12 09:01:00,2026-01-12 09:06:00,buy,2,85.325,84.43457142857143,-1.0435728935582442,0.04,-1.0835728935582443,-0.890428571428572,stop_loss,0.890428571428571,5,77.232,84.588,0.914357142857142,8.851027263495052,"(3.0, 99.0]"
