ext_bin,n,winrate,avg_pnl,total_pnl,tp,sl
"(0.5, 1.0]",2,0.0,-1.0,-2.0,0.0,50.0
"(1.0, 1.5]",3,33.33,0.38,1.13,0.0,66.67
"(1.5, 2.0]",3,66.67,1.48,4.45,0.0,0.0
"(2.0, 3.0]",10,70.0,0.51,5.09,0.0,20.0
"(3.0, 99.0]",53,45.28,0.7,36.87,0.0,43.4
